date,county,prop_omicron_cases
2022-04-06,Stanislaus,0.9897350365556409
2022-04-06,Sutter,0.9928578718470605
2022-04-06,Tehama,0.9880723907835693
2022-04-06,Trinity,0.9890775102043738
2022-04-06,Tulare,0.9891274313237248
2022-04-06,Tuolumne,0.9915847640903372
2022-04-06,Ventura,0.9962964810927171
2022-04-06,Yolo,0.9955396182327075
2022-04-06,Yuba,0.9936848276731214
2022-04-07,Alameda,0.9959921351778408
2022-04-07,Alpine,0.9934956577171732
2022-04-07,Amador,0.9903986684790628
2022-04-07,Butte,0.9965282962476312
2022-04-07,Calaveras,0.994077163321047
2022-04-07,Colusa,0.9926485557103141
2022-04-07,Contra Costa,0.9940881883473706
2022-04-07,Del Norte,0.9936035739043074
2022-04-07,El Dorado,0.9936382664578529
2022-04-07,Fresno,0.9921659505359012
2022-04-07,Glenn,0.9937216823527923
2022-04-07,Humboldt,0.9938340372440216
2022-04-07,Imperial,0.9930874896975221
2022-04-07,Inyo,0.9951502632951016
2022-04-07,Kern,0.9937317492689473
2022-04-07,Kings,0.9916684486582661
2022-04-07,Lake,0.991419271489574
2022-04-07,Lassen,0.9949221648827409
2022-04-07,Los Angeles,0.998716978652252
2022-04-07,Madera,0.9917363600686465
2022-04-07,Marin,0.9951135156188785
2022-04-07,Mariposa,0.9909850057854682
2022-04-07,Mendocino,0.987355855261254
2022-04-07,Merced,0.9931472279473622
2022-04-07,Mono,0.9899300126238385
2022-04-07,Monterey,0.9942007336979316
2022-04-07,Napa,0.9939162872953631
2022-04-07,Nevada,0.9920026716180186
2022-04-07,Orange,0.9957990282480869
2022-04-07,Placer,0.9927107951774347
2022-04-07,Plumas,0.9926195112747281
2022-04-07,Riverside,0.9933512793794113
2022-04-07,Sacramento,0.9944117396653425
2022-04-07,San Benito,0.9956059312949507
2022-04-07,San Bernardino,0.9962094039818608
2022-04-07,San Diego,0.9983485041639859
2022-04-07,San Francisco,0.9937858939574198
2022-04-07,San Joaquin,0.9947770118082795
2022-04-07,San Luis Obispo,0.9951107523876594
2022-04-07,San Mateo,0.9969185104172336
2022-04-07,Santa Barbara,0.9940128339351477
2022-04-07,Santa Clara,0.9983438332383111
2022-04-07,Santa Cruz,0.9957906376542784
2022-04-07,Shasta,0.9934080916609908
2022-04-07,Sierra,0.9920481951320257
2022-04-07,Siskiyou,0.994923840931882
2022-04-07,Solano,0.9942222714834802
